,states,population,fips,mass_gathering_restrictions,initial_business_closure,educational_facilities_closed,non-essential_services_closed,stay_at_home_order,end,total_predicted_deaths,"total_predicted_deaths_per_100,000",ny_date,ny_state,ny_cases,ny_deaths,"deaths_per_100,000_at_close","cases_per_100,000_at_close",duration,duration_days,"cases_per_100,000_at_close_clean"
22,Alabama,4903185.0,1,2020-03-20,2020-03-20,2020-03-19,2020-03-28,2020-04-04,2020-05-18,295.0,6.0,2020-04-04,Alabama,1633,44,0.9,33.3,44 days 00:00:00.000000000,44.0,33.0
57,Alaska,731545.0,2,2020-03-24,2020-03-17,2020-03-16,2020-03-28,2020-03-28,2020-05-11,24.0,3.3,2020-03-28,Alaska,102,1,0.14,13.94,44 days 00:00:00.000000000,44.0,13.0
147,Arizona,7278717.0,4,2020-03-30,2020-03-20,2020-03-16,,2020-03-30,2020-06-08,267.0,3.7,2020-03-30,Arizona,1169,20,0.27,16.06,70 days 00:00:00.000000000,70.0,16.0
225,California,39512223.0,6,2020-03-11,2020-03-19,2020-03-19,2020-03-19,2020-03-19,2020-05-18,1658.0,4.2,2020-03-19,California,1067,19,0.05,2.7,60 days 00:00:00.000000000,60.0,2.0
281,Colorado,5758736.0,8,2020-03-19,2020-03-17,2020-03-23,2020-03-26,2020-03-26,2020-05-25,715.0,12.4,2020-03-26,Colorado,1432,24,0.42,24.87,60 days 00:00:00.000000000,60.0,24.0
322,Delaware,973764.0,10,2020-03-16,2020-03-16,2020-03-16,2020-03-24,2020-03-24,2020-05-18,143.0,14.7,2020-03-24,Delaware,104,0,0.0,10.68,55 days 00:00:00.000000000,55.0,10.0
432,Florida,21477737.0,12,2020-04-03,2020-03-17,2020-03-17,,2020-04-03,2020-05-01,1363.0,6.3,2020-04-03,Florida,10260,169,0.79,47.77,28 days 00:00:00.000000000,28.0,47.0
484,Georgia,10617423.0,13,2020-03-24,2020-03-24,2020-03-18,,2020-04-03,2020-06-15,1369.0,12.9,2020-04-03,Georgia,5967,198,1.86,56.2,73 days 00:00:00.000000000,73.0,56.0
523,Hawaii,1415872.0,15,2020-03-16,2020-03-17,2020-03-19,2020-03-25,2020-03-25,2020-05-04,38.0,2.7,2020-03-25,Hawaii,95,0,0.0,6.71,40 days 00:00:00.000000000,40.0,6.0
564,Idaho,1787065.0,16,2020-03-25,2020-03-25,2020-03-23,2020-03-25,2020-03-25,2020-05-11,63.0,3.5,2020-03-25,Idaho,123,0,0.0,6.88,47 days 00:00:00.000000000,47.0,6.0
650,Illinois,12671821.0,17,2020-03-13,2020-03-21,2020-03-17,2020-03-21,2020-03-21,2020-05-25,2259.0,17.8,2020-03-21,Illinois,751,6,0.05,5.93,65 days 00:00:00.000000000,65.0,5.0
702,Indiana,6732219.0,18,2020-03-12,2020-03-16,2020-03-19,2020-03-24,2020-03-25,2020-05-25,903.0,13.4,2020-03-25,Indiana,479,14,0.21,7.12,61 days 00:00:00.000000000,61.0,7.0
754,Kansas,2913314.0,20,2020-03-17,,2020-03-17,,2020-03-30,2020-06-01,187.0,6.4,2020-03-30,Kansas,373,9,0.31,12.8,63 days 00:00:00.000000000,63.0,12.0
792,Louisiana,4648794.0,22,2020-03-13,2020-03-17,2020-03-16,2020-03-22,2020-03-23,2020-05-18,1685.0,36.2,2020-03-23,Louisiana,1172,34,0.73,25.21,56 days 00:00:00.000000000,56.0,25.0
844,Maine,1344212.0,23,2020-03-18,2020-03-25,2020-03-16,2020-03-25,2020-04-02,2020-05-18,51.0,3.8,2020-04-02,Maine,376,7,0.52,27.97,46 days 00:00:00.000000000,46.0,27.0
890,Maryland,6045680.0,24,2020-03-16,2020-03-16,2020-03-16,2020-03-23,2020-03-30,2020-06-08,914.0,15.1,2020-03-30,Maryland,1414,15,0.25,23.39,70 days 00:00:00.000000000,70.0,23.0
928,Michigan,9986857.0,26,2020-03-13,2020-03-16,2020-03-16,2020-03-23,2020-03-24,2020-05-18,3304.0,33.1,2020-03-24,Michigan,1791,24,0.24,17.93,55 days 00:00:00.000000000,55.0,17.0
979,Minnesota,5639632.0,27,2020-03-27,2020-03-17,2020-03-18,,2020-03-27,2020-05-25,195.0,3.5,2020-03-27,Minnesota,398,4,0.07,7.06,59 days 00:00:00.000000000,59.0,7.0
1029,Mississippi,2976149.0,28,2020-03-24,2020-04-03,2020-03-19,2020-04-03,2020-04-03,2020-06-01,369.0,12.4,2020-04-03,Mississippi,1358,29,0.97,45.63,59 days 00:00:00.000000000,59.0,45.0
1109,Montana,1068778.0,30,2020-03-24,2020-03-20,2020-03-15,2020-03-26,2020-03-26,2020-05-04,17.0,1.6,2020-03-26,Montana,90,0,0.0,8.42,39 days 00:00:00.000000000,39.0,8.0
1163,Nevada,3080156.0,32,2020-03-19,2020-03-21,2020-03-16,2020-03-21,2020-03-31,2020-05-18,257.0,8.3,2020-03-31,Nevada,1113,26,0.84,36.13,48 days 00:00:00.000000000,48.0,36.0
1211,New Hampshire,1359711.0,33,2020-03-16,2020-03-28,2020-03-16,2020-03-28,2020-03-27,2020-05-11,55.0,4.0,2020-03-27,New Hampshire,187,2,0.15,13.75,45 days 00:00:00.000000000,45.0,13.0
1255,New Jersey,8882190.0,34,2020-03-16,2020-03-16,2020-03-18,2020-03-21,2020-03-21,2020-06-01,6952.0,78.3,2020-03-21,New Jersey,1336,16,0.18,15.04,72 days 00:00:00.000000000,72.0,15.0
1309,New York,19453561.0,36,2020-03-12,2020-03-16,2020-03-18,2020-03-22,2020-03-22,2020-06-01,21812.0,112.1,2020-03-22,New York,15168,122,0.63,77.97,71 days 00:00:00.000000000,71.0,77.0
1368,North Carolina,10488084.0,37,2020-03-14,2020-03-25,2020-03-14,2020-03-30,2020-03-30,2020-05-11,251.0,2.4,2020-03-30,North Carolina,1304,6,0.06,12.43,42 days 00:00:00.000000000,42.0,12.0
1406,Ohio,11689100.0,39,2020-03-12,2020-03-17,2020-03-16,2020-03-23,2020-03-23,2020-05-18,716.0,6.1,2020-03-23,Ohio,444,6,0.05,3.8,56 days 00:00:00.000000000,56.0,3.0
1461,Oregon,4217737.0,41,2020-03-12,2020-03-24,2020-03-16,,2020-03-23,2020-05-25,131.0,3.1,2020-03-23,Oregon,191,5,0.12,4.53,63 days 00:00:00.000000000,63.0,4.0
1518,Pennsylvania,12801989.0,42,2020-04-01,2020-03-23,2020-03-17,2020-03-23,2020-04-01,2020-06-01,1707.0,13.3,2020-04-01,Pennsylvania,5805,74,0.58,45.34,61 days 00:00:00.000000000,61.0,45.0
1567,Rhode Island,1059361.0,44,2020-03-17,2020-03-23,2020-03-16,,2020-03-28,2020-06-08,438.0,41.3,2020-03-28,Rhode Island,239,2,0.19,22.56,72 days 00:00:00.000000000,72.0,22.0
1625,South Carolina,5148714.0,45,2020-03-18,2020-04-01,2020-03-16,,2020-04-07,2020-06-01,217.0,4.2,2020-04-07,South Carolina,2417,51,0.99,46.94,55 days 00:00:00.000000000,55.0,46.0
1669,Tennessee,6829174.0,47,2020-03-23,2020-03-23,2020-03-20,2020-04-01,2020-04-02,2020-05-25,231.0,3.4,2020-04-02,Tennessee,2869,32,0.47,42.01,53 days 00:00:00.000000000,53.0,42.0
1740,Texas,28995881.0,48,2020-03-21,2020-03-21,2020-03-19,,2020-04-02,2020-06-01,957.0,3.3,2020-04-02,Texas,4880,79,0.27,16.83,60 days 00:00:00.000000000,60.0,16.0
1778,Vermont,623989.0,50,2020-03-13,2020-03-23,2020-03-18,2020-03-25,2020-03-24,2020-05-04,40.0,6.4,2020-03-24,Vermont,95,7,1.12,15.22,41 days 00:00:00.000000000,41.0,15.0
1831,Virginia,8535519.0,51,2020-03-15,2020-03-24,2020-03-26,,2020-03-30,2020-06-08,763.0,8.9,2020-03-30,Virginia,1021,26,0.3,11.96,70 days 00:00:00.000000000,70.0,11.0
1917,Washington,7614893.0,53,2020-03-11,2020-03-16,2020-03-13,2020-03-25,2020-03-23,2020-05-18,694.0,9.1,2020-03-23,Washington,2101,110,1.44,27.59,56 days 00:00:00.000000000,56.0,27.0
1956,West Virginia,1792147.0,54,2020-03-24,2020-03-18,2020-03-14,2020-03-24,2020-03-25,2020-05-04,22.0,1.2,2020-03-25,West Virginia,51,0,0.0,2.85,40 days 00:00:00.000000000,40.0,2.0
2034,Wisconsin,5822434.0,55,2020-03-17,2020-03-17,2020-03-18,2020-03-25,2020-03-25,2020-05-18,302.0,5.2,2020-03-25,Wisconsin,623,7,0.12,10.7,54 days 00:00:00.000000000,54.0,10.0
